Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
Zero-G;12;7.301;2841;1561;160844;528;5482654826
Felix Film;12;7.281;2921;706;359552;2292;1.54216E+11
Lay-duce;12;7.271;3014;2725;72268;422;2637526375
Studio Kai;12;7.151;3654;752;340258;1778;1.71429E+11
Project No.9;12;7.101;3922;3750;40168;149;1357713577
CloverWorks;13;7.101;3891;2915;63535;274;2416024160
Tatsunoko Production;51;7.031;4239;8331;5939;57;12421242
EMT Squared;12;7.011;4377;784;328507;1728;1.53018E+11
TMS Entertainment;6;6.961;4573;5677;15346;62;64486448
Doga Kobo;12;6.931;4696;406;574771;5072;2.46644E+11
SynergySP;24;6.871;4988;868;302936;2268;1.16028E+11
Toei Animation;45;6.861;5031;6465;11064;121;34183418
Yumeta Company;24;6.781;5425;4539;26904;148;78767876
J.C.Staff;12;6.761;5528;1436;175400;737;6030060300
Zexcs;50;6.741;5681;7853;6857;36;15791579
Toei Animation;67;6.741;5670;4694;24779;165;72627262
Doga Kobo;12;6.701;5912;3317;50051;123;1680916809
LIDENFILMS;12;6.641;6268;4964;21706;79;57215721
Telecom Animation Film;13;6.641;6225;4797;23509;153;74607460
Sunrise;9;6.601;6499;11258;2424;13;282282
Sunrise Beyond;12;6.541;6845;5736;15021;75;53665366
Nippon Animation;24;6.531;6873;3662;41856;268;1268312683
Kinema Citrus;13;6.521;6925;253;809874;12305;2.95132E+11
Polygon Pictures;12;6.471;7280;6146;12550;44;35983598
Wit Studio;60;6.471;7264;5613;15824;38;45214521
Tezuka Productions;12;6.391;7759;1467;171659;758;5804258042
J.C.Staff;24;6.381;7803;2936;62826;396;1353613536
Jumondo;12;6.341;8024;2883;64997;170;2326623266
Saetta;10;6.301;8285;6784;9905;19;35553555
SILVER LINK.;12;6.291;8369;836;311235;1519;1.44784E+11
Lay-duce;13;6.151;9108;4604;25994;130;72777277
Scooter Films;11;6.091;9462;7101;8866;17;39203920
None found;26;6.001;9935;9410;4256;31;213213
Bibury Animation Studios;12;5.951;10187;3552;44366;349;93939393
Arms;3;5.831;10759;4384;28860;133;60346034
Lapin Track;24;5.721;11280;7051;8998;31;37383738
Studio Kingyoiro;10;5.551;11967;14377;958;4;233233
Pierrot;26;8.731;49;2690;73407;1109;3212732127
Kinema Citrus;12;8.611;93;489;487733;6505;2.28165E+11
OLM;25;8.471;154;389;596940;10140;2.51268E+11
Production I.G;24;8.161;446;1123;232059;3246;1.17167E+11
A-1 Pictures;13;8.151;457;437;540013;9077;2.62355E+11
Lerche;13;8.081;547;300;713259;8365;4.07758E+11
Madhouse;13;8.071;574;400;580256;7313;2.90845E+11
CloverWorks;12;8.011;650;1831;129504;703;5371553715
LIDENFILMS;13;7.951;737;343;656878;8763;2.89627E+11
Atelier Pontdarc;13;7.771;1106;646;389320;2168;1.7823E+11
feel.;12;7.751;1155;1072;241733;1162;1.00683E+11
J.C.Staff;11;7.741;1179;672;374080;2119;1.59844E+11
Toei Animation;100;7.731;1218;2612;76566;644;2596325963
Sunrise;12;7.671;1360;3941;35987;313;1579415794
White Fox;28;7.521;1897;3755;40004;189;80988098
Studio Kai;12;7.491;2008;4479;27668;124;80028002
Nomad;12;7.421;2259;3593;43308;148;1444314443
Studio Kai;12;7.321;2726;2711;72640;459;1949019490
Diomedéa;12;7.271;3020;1059;244297;928;1.22871E+11
Studio PuYUKAI;30;7.181;3456;5717;15146;107;46754675
Bibury Animation Studios;12;7.071;4052;3931;36264;194;1037210372
Satelight;12;7.041;4177;987;263723;1128;1.31916E+11
A.C.G.T.;12;7.041;4189;3004;60057;264;2191121911
Tatsunoko Production;51;7.031;4239;8331;5939;57;12421242
SILVER LINK.;12;7.021;4303;1446;174341;676;5529355293
Shin-Ei Animation;12;6.911;4798;9492;4142;24;13091309
SynergySP;24;6.871;4988;868;302936;2268;1.16028E+11
Kinema Citrus;13;6.861;5028;7711;7178;40;21202120
Toei Animation;45;6.861;5031;6465;11064;121;34183418
Staple Entertainment;12;6.801;5320;844;308375;2088;1.25189E+11
A-1 Pictures;13;6.791;5409;1021;255029;1245;9761097610
TMS Entertainment;12;6.781;5452;546;445201;4883;1.78728E+11
M.S.C;13;6.771;5515;5483;16834;128;54005400
Studio Gokumi;10;6.751;5627;4607;25936;53;88308830
Toei Animation;67;6.741;5669;4694;24779;165;72627262
Zexcs;50;6.741;5680;7853;6857;36;15791579
Project No.9;12;6.731;5722;825;313333;1577;1.44578E+11
Shaft;12;6.681;6020;4660;25193;70;57695769
Studio 3Hz;12;6.651;6198;476;501249;4750;1.61654E+11
Drive;12;6.611;6425;5073;20631;41;66076607
Yumeta Company;12;6.611;6426;3459;46419;343;1147411474
SILVER LINK.;11;6.571;6683;1768;136228;519;4328943289
Nippon Animation;24;6.531;6872;3662;41856;268;1268312683
Seven Arcs;12;6.531;6900;6061;12961;33;46564656
Shaft;12;6.341;8040;2035;113879;665;3645836458
Revoroot;12;6.331;8095;1131;230054;1406;9347793477
Studio Sota;12;6.161;9057;14395;957;2;190190
Gaina;12;6.131;9249;8635;5462;13;23392339
Science SARU;12;6.031;9789;5123;20119;43;69346934
Geno Studio;12;5.991;9966;3855;37864;144;1067110671
LIDENFILMS;12;5.801;10936;4267;30446;49;85388538
Lapin Track;24;5.721;11280;7051;8998;31;37383738
NAZ;24;5.631;11688;2973;61577;172;1723317233
None found;10;5.511;12067;8696;5372;51;269269
Magic Bus;13;5.281;12725;5410;17490;77;56885688
A-Real;12;4.661;13536;6561;10663;14;19771977
ILCA;13;4.641;13550;7277;8337;68;492492
CloverWorks;12;8.761;42;336;668923;32085;4.03108E+11
Bones;12;8.711;57;277;760243;11403;3.8068E+11
MAPPA;12;8.461;158;62;1693354;49930;9.56206E+11
TROYCA;17;8.341;245;5615;15810;262;52145214
Nexus;20;8.261;325;287;749738;16637;4.00533E+11
Bones;25;8.241;346;293;722368;7277;3.57725E+11
