jp_title;char_name;fav;img
Hataraku Saibou!!;Kousankyuu  (好酸球);32;https://cdn.myanimelist.net/images/characters/16/361793.jpg
Hataraku Saibou!!;NK Saibou  (NK細胞);31;https://cdn.myanimelist.net/images/characters/12/362907.jpg
Log Horizon: Entaku Houkai;Shiroe  (シロエ);4814;https://cdn.myanimelist.net/images/characters/11/200451.jpg
Log Horizon: Entaku Houkai;Akatsuki  (アカツキ);2792;https://cdn.myanimelist.net/images/characters/14/200453.jpg
Log Horizon: Entaku Houkai;Naotsugu  (直継);224;https://cdn.myanimelist.net/images/characters/11/200455.jpg
Log Horizon: Entaku Houkai;Nyanta  (にゃん太);528;https://cdn.myanimelist.net/images/characters/8/224103.jpg
Log Horizon: Entaku Houkai;Krusty  (クラスティ);136;https://cdn.myanimelist.net/images/characters/15/292701.jpg
Log Horizon: Entaku Houkai;Rundellhous Kode (ルンデルハウス=コード);131;https://cdn.myanimelist.net/images/characters/3/236651.jpg
Log Horizon: Entaku Houkai;Tetora  (てとら);113;https://cdn.myanimelist.net/images/characters/15/278216.jpg
Log Horizon: Entaku Houkai;Rayneshia El-Arte Corwen (レイネシア＝エルアルテ＝コーウェン);89;https://cdn.myanimelist.net/images/characters/14/241773.jpg
Log Horizon: Entaku Houkai;Kanami  (カナミ);70;https://cdn.myanimelist.net/images/characters/8/292794.jpg
Log Horizon: Entaku Houkai;Serara  (セララ);63;https://cdn.myanimelist.net/images/characters/6/292926.jpg
Yuru Camp△ Season 2;Rin Shima (志摩 リン);5947;https://cdn.myanimelist.net/images/characters/10/358813.jpg
Yuru Camp△ Season 2;Nadeshiko Kagamihara (各務原 なでしこ);3290;https://cdn.myanimelist.net/images/characters/2/366169.jpg
Yuru Camp△ Season 2;Aoi Inuyama (犬山 あおい);738;https://cdn.myanimelist.net/images/characters/9/368347.jpg
Yuru Camp△ Season 2;Chiaki Oogaki (大垣 千明);267;https://cdn.myanimelist.net/images/characters/2/337013.jpg
Yuru Camp△ Season 2;Ena Saitou (斉藤 恵那);249;https://cdn.myanimelist.net/images/characters/12/337015.jpg
Yuru Camp△ Season 2;Sakura Kagamihara (各務原 桜);180;https://cdn.myanimelist.net/images/characters/9/543901.jpg
Yuru Camp△ Season 2;Minami Toba (鳥羽 美波);89;https://cdn.myanimelist.net/images/characters/13/543900.jpg
Yuru Camp△ Season 2;Ayano Toki (土岐 綾乃);49;https://cdn.myanimelist.net/images/characters/8/543898.jpg
Yuru Camp△ Season 2;Hajime Shinshirou (新城 肇);36;https://cdn.myanimelist.net/images/characters/2/354447.jpg
Yuru Camp△ Season 2;Akari Inuyama (犬山 あかり);27;https://cdn.myanimelist.net/images/characters/15/543899.jpg
Hataraku Saibou Black;Hakkekkyuu U-1196  (白血球 U-1196番);155;https://cdn.myanimelist.net/images/characters/5/435440.jpg
