,jp_title,char_name,fav,img,colors
9398,Kusuriya no Hitorigoto,Maomao  (猫猫),13914,https://cdn.myanimelist.net/images/characters/16/371204.jpg,"[[237, 237, 252], [220, 224, 250], [189, 184, 232], [158, 147, 209], [131, 116, 182], [9, 10, 7], [24, 27, 14], [38, 39, 25], [49, 52, 36], [62, 66, 47], [76, 78, 61], [89, 93, 73], [100, 40, 53], [68, 106, 58], [102, 112, 87], [103, 85, 117], [106, 121, 49], [120, 129, 107], [114, 141, 78], [142, 149, 130], [126, 164, 110], [167, 170, 157], [142, 190, 137], [156, 202, 151], [184, 205, 172], [212, 196, 204], [204, 221, 188], [223, 234, 213], [242, 249, 239], [251, 252, 251]]"
9438,Goblin Slayer II,Goblin Slayer  (ゴブリンスレイヤー),5055,https://cdn.myanimelist.net/images/characters/14/523995.jpg,"[[27, 18, 80], [18, 13, 57], [6, 6, 6], [17, 17, 17], [29, 29, 30], [42, 41, 41], [55, 53, 53], [65, 64, 64], [76, 75, 75], [88, 87, 87], [100, 99, 99], [112, 112, 112], [126, 125, 125], [140, 138, 138], [48, 30, 142], [151, 150, 149], [162, 161, 161], [65, 43, 165], [172, 172, 172], [79, 55, 180], [182, 183, 183], [191, 192, 193], [200, 202, 203], [107, 77, 205], [210, 213, 214], [222, 225, 225], [234, 235, 236], [214, 234, 239], [242, 244, 245], [254, 254, 254]]"
9748,MF Ghost,Ryousuke Takahashi (高橋 涼介),1803,https://cdn.myanimelist.net/images/characters/12/296426.jpg,"[[193, 210, 237], [182, 202, 233], [163, 181, 214], [142, 159, 193], [117, 136, 177], [102, 121, 173], [103, 116, 151], [86, 104, 161], [83, 95, 132], [64, 77, 112], [46, 57, 89], [28, 38, 65], [13, 20, 41], [5, 3, 6], [14, 11, 12], [22, 20, 19], [30, 27, 27], [37, 34, 33], [42, 39, 38], [46, 43, 43], [55, 53, 53], [64, 64, 64], [70, 60, 58], [72, 71, 71], [77, 76, 76], [101, 92, 90], [122, 113, 111], [149, 142, 141], [190, 190, 191], [254, 254, 254]]"
9776,Houkago Shounen Hanako-kun,Hanako-kun  (花子くん),9346,https://cdn.myanimelist.net/images/characters/10/353619.jpg,"[[214, 230, 247], [185, 201, 231], [116, 191, 241], [164, 181, 212], [89, 168, 223], [116, 146, 228], [136, 161, 167], [105, 120, 145], [82, 106, 181], [71, 84, 121], [40, 56, 126], [44, 56, 91], [37, 20, 94], [25, 36, 54], [15, 12, 72], [10, 9, 45], [4, 5, 28], [5, 7, 15], [18, 22, 119], [69, 124, 62], [31, 35, 157], [53, 77, 167], [31, 28, 183], [26, 87, 196], [26, 23, 208], [58, 123, 210], [186, 218, 192], [67, 93, 220], [22, 11, 231], [245, 250, 248]]"
9777,Houkago Shounen Hanako-kun,Nene Yashiro (八尋 寧々),2248,https://cdn.myanimelist.net/images/characters/4/445275.jpg,"[[190, 214, 240], [186, 201, 217], [167, 187, 213], [142, 170, 229], [136, 158, 190], [108, 143, 222], [99, 130, 184], [121, 141, 152], [61, 98, 175], [80, 101, 146], [47, 70, 143], [62, 74, 88], [32, 41, 120], [20, 23, 96], [12, 15, 66], [9, 11, 37], [4, 4, 10], [40, 52, 45], [88, 112, 94], [116, 113, 17], [98, 119, 114], [63, 126, 33], [32, 27, 137], [141, 154, 90], [162, 165, 165], [172, 181, 129], [52, 49, 182], [155, 200, 180], [58, 103, 213], [253, 254, 254]]"
9778,Houkago Shounen Hanako-kun,Kou Minamoto (源 光),1550,https://cdn.myanimelist.net/images/characters/13/384657.jpg,"[[219, 229, 251], [200, 213, 235], [157, 208, 248], [182, 207, 230], [133, 178, 237], [116, 176, 219], [158, 172, 208], [119, 143, 196], [87, 127, 200], [65, 110, 189], [91, 116, 159], [59, 87, 141], [34, 55, 103], [17, 21, 98], [4, 12, 86], [6, 11, 62], [3, 5, 24], [65, 89, 77], [7, 20, 122], [28, 54, 140], [8, 13, 165], [28, 69, 173], [172, 202, 92], [82, 90, 202], [37, 48, 203], [21, 83, 220], [15, 165, 232], [22, 38, 232], [32, 51, 245], [99, 148, 248]]"
9779,Houkago Shounen Hanako-kun,Sousuke Mitsuba (三葉 惣助),2240,https://cdn.myanimelist.net/images/characters/4/492838.jpg,"[[204, 223, 233], [166, 190, 222], [179, 192, 211], [163, 175, 210], [142, 161, 202], [120, 146, 194], [126, 126, 210], [131, 137, 163], [111, 126, 181], [109, 117, 139], [92, 99, 171], [85, 78, 163], [81, 88, 133], [66, 61, 110], [42, 41, 124], [41, 44, 84], [22, 21, 94], [14, 17, 61], [4, 6, 31], [43, 41, 43], [82, 73, 85], [129, 121, 94], [63, 58, 152], [163, 156, 131], [81, 73, 198], [109, 102, 198], [108, 98, 212], [210, 212, 195], [226, 233, 239], [252, 253, 252]]"
9829,16bit Sensation: Another Layer,Saber  (セイバー),32380,https://cdn.myanimelist.net/images/characters/6/275276.jpg,"[[229, 230, 241], [216, 225, 241], [179, 216, 238], [199, 213, 236], [166, 198, 227], [146, 175, 214], [129, 153, 197], [107, 133, 188], [84, 110, 176], [65, 90, 162], [43, 68, 134], [45, 55, 103], [34, 26, 57], [8, 1, 3], [48, 12, 15], [73, 21, 20], [95, 30, 18], [102, 59, 65], [116, 105, 130], [145, 82, 87], [151, 54, 23], [162, 134, 140], [191, 171, 176], [192, 116, 87], [217, 142, 107], [225, 213, 222], [235, 169, 131], [239, 196, 161], [247, 223, 196], [253, 252, 248]]"
10250,Ore dake Level Up na Ken,Jin-Woo Sung (성 진우),17628,https://cdn.myanimelist.net/images/characters/2/540692.jpg,"[[188, 230, 253], [176, 213, 246], [169, 207, 241], [145, 179, 220], [127, 155, 199], [115, 143, 179], [99, 123, 151], [83, 104, 128], [66, 85, 104], [49, 62, 76], [6, 5, 6], [21, 17, 17], [38, 29, 31], [51, 45, 46], [62, 54, 54], [68, 42, 48], [73, 65, 65], [79, 51, 56], [93, 82, 76], [113, 108, 106], [138, 132, 130], [144, 106, 89], [165, 161, 160], [190, 186, 186], [191, 153, 122], [200, 165, 136], [217, 206, 205], [218, 181, 151], [234, 231, 223], [254, 254, 254]]"
10251,Ore dake Level Up na Ken,Hae-In Cha (차해인),3235,https://cdn.myanimelist.net/images/characters/15/531268.jpg,"[[204, 223, 251], [186, 223, 245], [171, 214, 237], [157, 205, 230], [143, 193, 221], [139, 162, 200], [67, 154, 189], [111, 140, 178], [91, 117, 175], [93, 114, 133], [63, 108, 148], [59, 87, 115], [53, 33, 123], [40, 45, 82], [16, 11, 14], [46, 36, 45], [74, 59, 67], [85, 68, 79], [102, 96, 105], [128, 125, 133], [156, 152, 158], [181, 180, 187], [72, 48, 190], [80, 53, 198], [166, 108, 202], [205, 201, 207], [94, 185, 219], [222, 217, 223], [239, 240, 245], [254, 254, 254]]"
